merchant_name,merchant_area,category,product,price,row_id
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Almara Kopi (kopi Susu Gula Aren),20000.0,0
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Almara Kopi (kopi Susu Gula Aren),22000.0,1
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Millsis,20000.0,2
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Millsis,20000.0,3
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Millbro,22000.0,4
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Millbro,22000.0,5
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot 330 Helateh,15000.0,6
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice 330 Helateh,18000.0,7
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Ilusi Kopi,23000.0,8
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Ilusi Kopi,25000.0,9
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Kopi Jelly,20000.0,10
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Americano,18000.0,11
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Americano,20000.0,12
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Latte,18000.0,13
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Latte,20000.0,14
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Cappucino,20000.0,15
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Cappucino,22000.0,16
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Mocacino,20000.0,17
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Mocacino,22000.0,18
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Caramel Latte,20000.0,19
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Frappucino,25000.0,20
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Caramel Latte,22000.0,21
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Hazelnut Latte,20000.0,22
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Hazelnut Latte,22000.0,23
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Vanilla Latte,20000.0,24
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Vanilla Latte,22000.0,25
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Vietnam Drip,18000.0,26
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Kopi Tarik,18000.0,27
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Kopi Matcha,27000.0,28
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Kopi Charcoal,25000.0,29
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Matcha,27500.0,30
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Matcha,25000.0,31
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Charcoal,22000.0,32
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Charcoal,22000.0,33
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Coklat,22000.0,34
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Coklat,22000.0,35
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Hot Lemon Tea,18000.0,36
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Lemon Tea,18000.0,37
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ice Yakult Squash,20000.0,38
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Kopi Beer,20000.0,39
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Teh Jelly,20000.0,40
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Lemon Squash,20000.0,41
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Ocean Blue,20000.0,42
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Chocomint,22000.0,43
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Lychee Squash,20000.0,44
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Chocoreo,25000.0,45
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Pisang Lumer Coklat,19000.0,46
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Roti Bakar,22500.0,47
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Kentang Goreng,22500.0,48
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Ngemil 1,35000.0,49
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Ngemil 2,35000.0,50
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Ngemil 3,35000.0,51
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Mix Bento,37000.0,52
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Bento Shrimp Roll,37000.0,53
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Bento Ebi Furai,37000.0,54
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Bento Ekkado,37000.0,55
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Chicken Teriyaki,37000.0,56
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Chicken Blackpaper,37000.0,57
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Beff Teriyaki,37000.0,58
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Beff Blackpaper,37000.0,59
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Mie Ayam,25000.0,60
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Mie Ayam Bakso,27000.0,61
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Mie Yamin,25000.0,62
"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Paket Mie Yamin Bakso,27000.0,63
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Hemat Berdua,70000.0,64
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Hemat 1,33000.0,65
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Hemat Combo 3,105000.0,66
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Hemat Combo 2,100000.0,67
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Hemat Combo 1,90000.0,68
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Hemat Super 5,165000.0,69
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Chicken Steak Pops,20000.0,70
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Sirloin Steak Beef Pops,25000.0,71
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Tenderloin Steak Beef Pop,25000.0,72
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Chicken Crispy,25000.0,73
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Tenderloin Crispy,28000.0,74
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Sirloin Steak Crispy,28000.0,75
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Chicken Double,32000.0,76
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Sirloin Double,42000.0,77
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Tenderloin Double,42000.0,78
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Beef Steak,42000.0,79
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Blackpepper,42000.0,80
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Chicken Mushroom,33000.0,81
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Chicken Pepper,32000.0,82
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Sirloin Import 175 Gram,80000.0,83
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Rib Eye Import 175 Gram,80000.0,84
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Chicken Steak Geprek,25000.0,85
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Sirloin Steak Geprek,30000.0,86
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Tenderloin Steak Geprek,30000.0,87
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Steak Cumi,30000.0,88
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Steak Tuna Pepper,35000.0,89
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Steak Tuna Mushroom,35000.0,90
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Steak Dori Crispy,30000.0,91
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Nasi,6000.0,92
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Kuah Steak,6000.0,93
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Chicken Drumstick,25000.0,94
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Spaghetty,20000.0,95
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Kentang Lokal,13000.0,96
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Frenchfries,15000.0,97
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Lemon Tea,13000.0,98
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Es Tea Manis,8000.0,99
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Lemon Squash,17000.0,100
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Es Jeruk,13000.0,101
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Teh Tawar,5000.0,102
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Capucino Float,18000.0,103
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Avocado Float,20000.0,104
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Orange Float,20000.0,105
"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Milkshake Vanila,18000.0,106
